ticker,reason
AAN,no_price_data
AAWW,no_price_data
AAXN,no_price_data
ABC,no_price_data
ABMD,no_price_data
ACC,no_price_data
ACOR,no_price_data
ACXM,no_price_data
ADS,no_price_data
AEGN,no_price_data
AEL,no_price_data
AGN,no_price_data
AHH,no_price_data
AHL,no_price_data
AKRX,no_price_data
AKS,no_price_data
ALE,no_price_data
ALEX,no_price_data
ALXN,no_price_data
AMED,no_price_data
ANTM,no_price_data
APC,no_price_data
ARRS,no_price_data
ASNA,no_price_data
ATGE,no_price_data
ATVI,no_price_data
AXE,no_price_data
AXL,no_price_data
BCOR,no_price_data
BEL,no_price_data
BGFV,no_price_data
BGG,no_price_data
BID,no_price_data
BIG,no_price_data
BKS,no_price_data
BLL,no_price_data
BOBE,no_price_data
BPFH,no_price_data
BRS,no_price_data
CA,no_price_data
CAMP,no_price_data
CATM,no_price_data
CBB,no_price_data
CBG,no_price_data
CBM,no_price_data
CCMP,no_price_data
CDR,no_price_data
CELG,no_price_data
CHFC,no_price_data
CHK,no_price_data
CHS,no_price_data
CHSP,no_price_data
CHUY,no_price_data
CIR,no_price_data
CLD,no_price_data
CLGX,no_price_data
CLI,no_price_data
CMO,no_price_data
CNSL,no_price_data
COG,no_price_data
CONE,no_price_data
CORE,no_price_data
CPE,no_price_data
CPSI,no_price_data
CRAY,no_price_data
CREE,no_price_data
CRR,no_price_data
CRY,no_price_data
CRZO,no_price_data
CTB,no_price_data
CTL,no_price_data
CTRL,no_price_data
CTXS,no_price_data
CUB,no_price_data
CUTR,no_price_data
CXO,no_price_data
CY,no_price_data
DBD,no_price_data
DF,no_price_data
DISCA,no_price_data
DISH,no_price_data
DNKN,no_price_data
DNR,no_price_data
DO,no_price_data
DPLO,no_price_data
DRE,no_price_data
DSPG,no_price_data
DSW,no_price_data
EBIX,no_price_data
ECHO,no_price_data
ECOL,no_price_data
EDR,no_price_data
EFII,no_price_data
EGOV,no_price_data
ELY,no_price_data
ENDP,no_price_data
ERA,no_price_data
ESL,no_price_data
ESV,no_price_data
ETFC,no_price_data
ETH,no_price_data
EV,no_price_data
EXPR,no_price_data
EXTN,no_price_data
FARO,no_price_data
FB,no_price_data
FBHS,no_price_data
FII,no_price_data
FL,no_price_data
FLIR,no_price_data
FLOW,no_price_data
FMBI,no_price_data
FRAN,no_price_data
FRED,no_price_data
FRGI,no_price_data
FTD,no_price_data
GES,no_price_data
GGP,no_price_data
GHL,no_price_data
GLT,no_price_data
GOV,no_price_data
GPS,no_price_data
GWB,no_price_data
GWR,no_price_data
HBI,no_price_data
HCN,no_price_data
HF,no_price_data
HFC,no_price_data
HI,no_price_data
HIBB,no_price_data
HMST,no_price_data
HMSY,no_price_data
HRC,no_price_data
HRS,no_price_data
HSC,no_price_data
HSII,no_price_data
HSKA,no_price_data
HT,no_price_data
IIVI,no_price_data
INT,no_price_data
INTL,no_price_data
IRBT,no_price_data
ISCA,no_price_data
ITG,no_price_data
IVC,no_price_data
JCOM,no_price_data
JCP,no_price_data
JNPR,no_price_data
K,no_price_data
KAMN,no_price_data
KEM,no_price_data
KIRK,no_price_data
KRA,no_price_data
KSU,no_price_data
LABL,no_price_data
LANC,no_price_data
LB,no_price_data
LCI,no_price_data
LHCG,no_price_data
LL,no_price_data
LLL,no_price_data
LM,no_price_data
LMNX,no_price_data
LOGM,no_price_data
LPT,no_price_data
MANT,no_price_data
MBFI,no_price_data
MCF,no_price_data
MDC,no_price_data
MDCO,no_price_data
MDP,no_price_data
MDR,no_price_data
MDSO,no_price_data
MGLN,no_price_data
MHLD,no_price_data
MIK,no_price_data
MINI,no_price_data
MMC,no_price_data
MNK,no_price_data
MNTA,no_price_data
MON,no_price_data
MPW,no_price_data
MRO,no_price_data
MTSC,no_price_data
MYL,no_price_data
NATI,no_price_data
NAVG,no_price_data
NBL,no_price_data
NCI,no_price_data
NCR,no_price_data
NEWM,no_price_data
NLS,no_price_data
NLSN,no_price_data
NP,no_price_data
NR,no_price_data
NTRI,no_price_data
NUVA,no_price_data
ODP,no_price_data
OFC,no_price_data
OMI,no_price_data
OPB,no_price_data
PBCT,no_price_data
PCH,no_price_data
PDCE,no_price_data
PDCO,no_price_data
PEI,no_price_data
PES,no_price_data
PGNX,no_price_data
PJC,no_price_data
PKI,no_price_data
PLT,no_price_data
POL,no_price_data
PPBI,no_price_data
PRFT,no_price_data
PRSC,no_price_data
PSB,no_price_data
PX,no_price_data
QEP,no_price_data
QHC,no_price_data
QSII,no_price_data
RAVN,no_price_data
RCII,no_price_data
RDC,no_price_data
RE,no_price_data
RECN,no_price_data
RHT,no_price_data
ROIC,no_price_data
RRD,no_price_data
RTEC,no_price_data
RTN,no_price_data
RUTH,no_price_data
SAFM,no_price_data
SBNY,no_price_data
SFLY,no_price_data
SIVB,no_price_data
SIX,no_price_data
SJI,no_price_data
SKX,no_price_data
SLCA,no_price_data
SNH,no_price_data
SONC,no_price_data
SPN,no_price_data
SPPI,no_price_data
SPTN,no_price_data
SRCL,no_price_data
SRDX,no_price_data
STMP,no_price_data
SUP,no_price_data
SWM,no_price_data
SWN,no_price_data
TCO,no_price_data
TECD,no_price_data
TGI,no_price_data
TGNA,no_price_data
THS,no_price_data
TIF,no_price_data
TIVO,no_price_data
TLRD,no_price_data
TMST,no_price_data
TPRE,no_price_data
TPX,no_price_data
TSS,no_price_data
TUP,no_price_data
TYPE,no_price_data
UCBI,no_price_data
UFS,no_price_data
UIHC,no_price_data
ULTI,no_price_data
UMPQ,no_price_data
UNT,no_price_data
UTX,no_price_data
VAR,no_price_data
VG,no_price_data
VIAB,no_price_data
VRTU,no_price_data
VRTV,no_price_data
VSI,no_price_data
VSTO,no_price_data
VVI,no_price_data
WAGE,no_price_data
WCG,no_price_data
WDR,no_price_data
WIRE,no_price_data
WLH,no_price_data
WLTW,no_price_data
WPG,no_price_data
WPX,no_price_data
WRI,no_price_data
WRK,no_price_data
WTR,no_price_data
WWE,no_price_data
WYND,no_price_data
X,no_price_data
XL,no_price_data
XLNX,no_price_data
ZEUS,no_price_data
